Pc1.A,Pc1.R,Pc1.N,Pc1.D,Pc1.C,Pc1.E,Pc1.Q,Pc1.G,Pc1.H,Pc1.I,Pc1.L,Pc1.K,Pc1.M,Pc1.F,Pc1.P,Pc1.S,Pc1.T,Pc1.W,Pc1.Y,Pc1.V,Pc2.Hydrophobicity.1,Pc2.Hydrophilicity.1,Pc2.Hydrophobicity.2,Pc2.Hydrophilicity.2,Pc2.Hydrophobicity.3,Pc2.Hydrophilicity.3,Pc2.Hydrophobicity.4,Pc2.Hydrophilicity.4,Pc2.Hydrophobicity.5,Pc2.Hydrophilicity.5,Pc2.Hydrophobicity.6,Pc2.Hydrophilicity.6,Pc2.Hydrophobicity.7,Pc2.Hydrophilicity.7,Pc2.Hydrophobicity.8,Pc2.Hydrophilicity.8,Pc2.Hydrophobicity.9,Pc2.Hydrophilicity.9,Pc2.Hydrophobicity.10,Pc2.Hydrophilicity.10,Pc2.Hydrophobicity.11,Pc2.Hydrophilicity.11,Pc2.Hydrophobicity.12,Pc2.Hydrophilicity.12,Pc2.Hydrophobicity.13,Pc2.Hydrophilicity.13,Pc2.Hydrophobicity.14,Pc2.Hydrophilicity.14,Pc2.Hydrophobicity.15,Pc2.Hydrophilicity.15,Pc2.Hydrophobicity.16,Pc2.Hydrophilicity.16,Pc2.Hydrophobicity.17,Pc2.Hydrophilicity.17,Pc2.Hydrophobicity.18,Pc2.Hydrophilicity.18,Pc2.Hydrophobicity.19,Pc2.Hydrophilicity.19,Pc2.Hydrophobicity.20,Pc2.Hydrophilicity.20,Pc2.Hydrophobicity.21,Pc2.Hydrophilicity.21,Pc2.Hydrophobicity.22,Pc2.Hydrophilicity.22,Pc2.Hydrophobicity.23,Pc2.Hydrophilicity.23,Pc2.Hydrophobicity.24,Pc2.Hydrophilicity.24,Pc2.Hydrophobicity.25,Pc2.Hydrophilicity.25,Pc2.Hydrophobicity.26,Pc2.Hydrophilicity.26,Pc2.Hydrophobicity.27,Pc2.Hydrophilicity.27,Pc2.Hydrophobicity.28,Pc2.Hydrophilicity.28,Pc2.Hydrophobicity.29,Pc2.Hydrophilicity.29,Pc2.Hydrophobicity.30,Pc2.Hydrophilicity.30,Class
35.33296117,17.66648058,33.37001888,29.4441343,4.907355717,20.61089401,16.68500944,37.29590345,3.925884574,39.25884574,54.96238404,17.66648058,10.79618258,24.53677859,23.55530744,88.33240291,56.92532632,4.907355717,28.46266316,36.31443231,0.000495474,0.001507144,0.001211456,-0.001660423,0.003083731,0.000637226,-0.000444559,-3.69E-05,-1.45E-05,-0.001082363,-0.002694644,-0.003180873,0.000239166,-0.000191925,0.003138852,0.002595845,0.003177276,0.003665226,0.002823462,0.002918106,0.001624176,0.00121638,-0.00139092,-0.001227364,0.000234881,-0.000129474,-0.001088916,-0.000238762,0.002039901,0.00149432,-0.002834208,-0.001568663,0.001165865,-0.000280862,-0.000703086,-0.000210345,0.004165819,0.003476584,0.00199588,0.000608954,-0.000812747,0.000112663,0.000375876,5.60E-05,0.001154831,0.00018719,0.001711865,0.000632767,0.000673792,-0.00067906,-0.00304043,-0.002617696,-0.00038659,-0.000715858,0.00182536,-0.001562233,0.0004199,-0.000499382,-0.000509219,-0.002335135,Negative
60.40937108,19.80635117,64.37064131,50.50619549,9.903175586,55.45778328,30.69984432,78.23508713,20.79666873,79.22540469,40.6030199,19.80635117,10.89349314,31.69016188,85.16731004,190.1409713,276.2985989,17.82571606,42.58365502,98.0414383,0.001504964,0.000581675,-0.00221751,-0.001566333,-0.002920758,-0.001262169,0.000556128,-0.001233125,0.00141937,0.001220305,0.000704576,0.000761684,-0.000782427,0.000171705,-0.000894667,0.000207324,0.001448001,0.000115287,0.0032978,0.002866986,0.001862292,0.001833661,-0.001533202,-0.003200701,-0.001744961,-0.001241765,-0.001504764,-0.001472009,0.002130966,0.000415607,0.003457631,0.003296341,-0.000593758,-0.001291798,-0.000590956,-0.000237056,1.70E-05,-0.000569429,0.002513057,0.002213681,0.001612461,0.000654035,0.000352685,-0.001251826,-0.00268223,-0.001061822,-0.001210114,-0.002838638,0.001564404,0.000855477,0.002190722,0.002139179,0.001009761,0.000537905,-0.000586224,-3.68E-05,-0.001860798,0.000736994,0.001042405,0.000776236,Positive
74.7700846,32.89883722,66.79460891,49.84672307,11.96321354,55.82832983,34.89270615,107.6689218,9.969344613,86.73329813,36.88657507,26.91723046,3.987737845,36.88657507,128.6045455,157.5156449,321.0128965,24.92336153,61.8099366,115.6443975,-1.61E-06,0.000217018,-0.002419781,-0.003223269,-0.002960933,-0.001164748,0.000630385,-0.001200167,0.002046358,0.001796308,0.001766826,5.42E-05,-0.002042682,4.69E-06,-0.000344345,0.00080229,0.001448452,0.000522438,0.003308084,0.002287206,0.001783231,0.001280406,-0.001876697,-0.00396644,-0.003103184,-0.001390602,-0.000508172,-0.001397956,0.002821353,0.001056663,0.003989046,0.002996096,-0.001831905,-0.001854144,-0.001808546,-0.001269025,-0.0006893,-0.001805745,0.003731798,0.003275805,0.002672697,0.000698438,-0.001213541,-0.001370237,-0.00326946,-0.00220834,-0.0015769,-0.003247196,0.001760855,0.001485623,0.002341516,0.002265988,0.001404891,0.000358644,-0.000128658,0.000335963,-0.000957426,0.000705051,0.002090218,-4.20E-05,Positive
9.320465816,1.553410969,16.31081518,4.660232908,1.553410969,3.106821939,6.990349362,17.86422615,4.660232908,13.20399324,28.73810293,3.883527423,4.660232908,17.08752066,10.0971713,17.08752066,11.65058227,1.553410969,6.990349362,11.65058227,0.00737542,0.003878709,0.006769425,0.00418888,0.00635768,0.002373326,0.005097184,0.003775694,0.007299053,0.00411893,0.007235572,0.006010691,0.007648642,0.003585362,0.004476974,0.002613148,0.003381679,0.002559168,0.002712225,0.001192567,0.005039034,0.002268611,0.004617893,0.004377812,0.004373901,0.002787688,0.0058158,0.003122959,0.002329609,0.000764507,0.002460405,-0.000393009,0.00312735,0.002699203,0.004321238,0.003544246,0.002244572,0.000947053,0.005422629,0.002615498,0.002851888,0.003122987,0.004902826,0.003403046,0.003360595,0.001168735,0.004102628,0.00483699,0.004848804,0.001001746,0.005521638,0.00583858,0.004689972,0.000882985,0.004425118,0.002668683,0.002003616,-0.000239169,0.004130935,0.004634583,Negative
43.2306383,19.10190994,20.10727363,26.13945571,11.05900049,27.14481939,28.15018308,40.21454725,10.05363681,34.18236516,52.27891143,25.13409203,13.06972786,15.08045522,21.11263731,34.18236516,26.13945571,1.005363681,15.08045522,39.20918357,7.69E-05,-0.000361661,-0.002811883,-0.001534341,-0.00469231,-0.003343861,-0.000763631,-0.002509475,0.00074008,-8.25E-05,-0.000328322,-0.000916621,0.00283381,0.002019345,0.001172697,0.001064474,-0.000327718,-0.00153951,0.001207708,-0.000702772,0.003479101,0.000147065,-0.001712958,-0.00229659,-0.000167789,0.000793435,-0.002048258,-0.001651237,0.003539562,0.00027663,0.004785208,0.005888069,0.004702967,0.001674149,-0.00243284,-0.002590622,-0.002267295,0.000343729,0.000510823,-0.004240087,0.002949723,0.001497353,0.00090658,0.000311813,-0.001839835,-0.000593677,0.000903175,0.0017781,-0.002465943,-0.00194468,-0.002253193,-0.002246095,0.001681763,-0.002777604,-0.000664893,0.000202282,-0.001970031,-0.001110829,0.003171789,0.003166999,Negative
19.38260659,14.76770026,64.60868864,25.84347545,4.614906331,20.30558786,23.99751292,31.38136305,5.537887597,42.45713825,40.61117571,25.84347545,11.07577519,20.30558786,21.22856912,71.99253877,36.91925065,0,16.61366279,17.53664406,0.000827813,5.89E-05,0.00019322,-0.001286097,0.005525141,0.001208244,-0.005120383,-0.003894779,0.000341861,0.000403979,0.002338424,0.000289994,0.001077667,-0.000495808,0.006435315,0.003402029,0.005390488,0.004899701,0.001505499,-0.001444128,0.003023086,0.003287804,0.002686038,0.001727991,-0.002618191,-0.002954317,-0.001291017,-6.10E-06,0.001586659,0.002181345,0.001674995,0.001326137,0.001094209,0.001012809,0.001725767,0.001301647,0.000548485,0.000643284,0.002943983,0.001745701,0.003234875,0.002245307,0.000420508,0.000997937,0.001626972,0.002682677,-0.00056608,5.10E-05,0.000182601,0.001100872,0.002011161,0.002495203,0.00230243,0.001739687,0.002984468,0.000661341,0.004936295,0.003330244,0.001142753,0.000141143,Negative
24.45523458,21.7379863,15.39774029,21.7379863,0.905749429,24.45523458,13.58624143,15.39774029,2.717248287,26.26673344,37.13572659,39.85297487,4.528747145,14.49199086,20.83223687,36.22997716,18.11498858,0,12.68049201,25.36098401,0.001060631,0.003365404,0.00053388,0.002923703,0.006825681,0.006023278,-0.001418977,0.002270625,-0.000663137,0.004183802,0.003103763,0.004444627,0.000414914,0.004504106,-0.005307332,-0.001555006,0.00172202,0.002508718,0.000672748,0.00073469,0.003700274,0.005393366,-0.001484648,0.001678012,0.003787624,0.00519326,0.001251723,0.004795498,0.001859225,0.005042323,-0.003109116,0.000159709,0.000414566,0.001547405,0.00182772,0.003894349,-0.008071974,0.000739354,0.001086426,0.004593541,-0.003324635,0.000395108,-0.003322622,-0.001000338,-0.002638399,-0.002056014,-0.002216792,0.002192044,-0.000693218,0.004701449,0.003055699,0.003874383,0.00328178,0.003172326,0.006455152,0.005564472,-0.002603102,0.001683217,0.001683809,0.005399478,Negative
33.75741088,21.56723473,45.00988118,45.00988118,10.31476444,40.32135189,22.50494059,23.44264645,6.563941005,57.20005733,55.32464561,44.07217532,8.43935272,25.31805816,30.00658745,46.88529289,37.50823431,3.750823431,11.25247029,28.13117573,0.000807772,0.000610227,-0.003428592,-0.000175295,0.003030036,0.004617647,-0.0023471,0.000179881,0.001223646,0.002900677,0.000215872,0.001741061,-0.000426778,0.001553024,0.002805971,0.007256787,-0.001989462,0.001011984,-0.001205491,0.002107095,0.001769824,0.003317449,-0.001873222,-0.000189867,-0.00093836,0.00161901,0.003605896,0.002808086,0.002329774,0.003346581,0.004000625,0.004493068,0.000641424,0.00418098,-0.00116763,0.001479825,0.0009953,0.002690008,-0.004450902,-0.001539053,-0.00127768,0.000360397,0.000535867,0.003565806,-0.003346114,-0.000931456,0.000488638,0.002862722,0.001229178,0.003563828,-0.00178074,0.001452733,-0.00034476,0.000863324,-0.003171859,0.001465857,0.000505377,0.002262421,0.000973532,0.005409291,Negative
7.550474442,0.943809305,4.719046526,3.775237221,3.775237221,9.438093052,1.88761861,4.719046526,0,1.88761861,4.719046526,10.38190236,1.88761861,3.775237221,2.831427916,5.662855831,3.775237221,1.88761861,3.775237221,3.775237221,-0.005049474,-0.000331786,-0.004972802,0.001031343,0.002613805,0.004391451,0.003997006,0.017721633,0.003524353,0.010698345,0.000876214,-0.001585066,-0.004778114,-0.001834775,-0.002095352,0.001201593,0.007727509,0.01383052,0.00098674,-0.001501835,-0.000165457,0.002739607,-0.006449822,-0.006855035,-0.001757084,0.005119553,-0.000692509,0.001314876,0.002295706,0.01082088,-0.000537434,-0.007666871,-0.004095582,-0.004861934,-0.000703719,0.005225571,0.0069987,0.011052975,0.000875113,0.002193353,-0.014083195,-0.01609057,-3.43E-05,0.006222162,0.010214006,0.005367668,-0.00236973,0.008764913,-0.003357784,-0.007861375,0.005435407,0.0031574,-0.003748729,0.001178375,0.002960379,0.003322897,0.002608552,0.010785367,-0.008467159,-0.009115767,Negative
7.807801003,3.903900501,12.4924816,4.684680602,0,3.903900501,4.684680602,5.465460702,1.561560201,8.588581103,7.027020903,24.98496321,0.7807801,3.123120401,6.246240802,14.83482191,10.1501413,0,2.342340301,7.807801003,0.001751433,0.004281626,0.00523823,0.011338789,0.007584317,0.009792344,0.005104836,0.008562412,0.004661881,0.00636946,0.001595055,0.004723015,0.007481128,0.008927736,0.006941514,0.006166615,0.005522813,0.008115999,-0.001651169,0.000745015,0.00926355,0.009302455,-0.004573889,-0.002474755,-0.000819016,0.002386152,-0.004083526,-0.001054538,0.003768618,0.00462087,0.004888007,0.00461904,-0.003583321,0.001155095,0.001452975,0.005266068,0.002124839,0.001940179,-0.000274334,0.003828884,-0.005997073,-9.88E-05,0.004279393,0.007074414,-0.004138695,9.80E-05,0.00033738,0.007496656,0.004711585,0.007490758,0.00035237,0.006784198,0.003291568,0.006601958,-0.000498819,0.003805681,0.003806641,0.009200324,0.004499546,0.009116417,Negative
