0,prop1.Tr1331,prop1.Tr2332,prop2.Tr1221,prop2.Tr1331,prop2.Tr2332,prop3.Tr1221,prop3.Tr1331,prop3.Tr2332,prop4.Tr1221,prop4.Tr1331,prop4.Tr2332,prop5.Tr1221,prop5.Tr1331,prop5.Tr2332,prop6.Tr1221,prop6.Tr1331,prop6.Tr2332,prop7.Tr1221,prop7.Tr1331,prop7.Tr2332,Class
0.253676471,0.205882353,0.216911765,0.356617647,0.136029412,0.165441176,0.227941176,0.261029412,0.213235294,0.349264706,0.121323529,0.180147059,0.154411765,0.018382353,0.216911765,0.242647059,0.279411765,0.176470588,0.308823529,0.227941176,0.150735294,Negative
0.224548049,0.116079924,0.230256898,0.323501427,0.108468126,0.071360609,0.228353949,0.13130352,0.215033302,0.337773549,0.092293054,0.08753568,0.058991437,0.013320647,0.201712655,0.190294957,0.161750714,0.272121789,0.15509039,0.260704091,0.185537583,Positive
0.24789916,0.12605042,0.231092437,0.298319328,0.18907563,0.109243697,0.193277311,0.163865546,0.25210084,0.327731092,0.159663866,0.138655462,0.172268908,0.021008403,0.159663866,0.130252101,0.273109244,0.138655462,0.193277311,0.226890756,0.180672269,Positive
0.28125,0.15,0.228125,0.309375,0.203125,0.165625,0.2125,0.2,0.23125,0.2625,0.15,0.21875,0.15,0.03125,0.2125,0.225,0.271875,0.159375,0.196875,0.215625,0.234375,Negative
0.204845815,0.233480176,0.196035242,0.224669604,0.171806167,0.204845815,0.18722467,0.27753304,0.182819383,0.207048458,0.136563877,0.240088106,0.169603524,0.033039648,0.165198238,0.226872247,0.233480176,0.143171806,0.279735683,0.209251101,0.158590308,Negative
0.249146758,0.194539249,0.184300341,0.245733788,0.201365188,0.19112628,0.160409556,0.23890785,0.225255973,0.235494881,0.136518771,0.255972696,0.197952218,0.040955631,0.156996587,0.187713311,0.23890785,0.215017065,0.252559727,0.184300341,0.19112628,Negative
0.2700661,0.163361662,0.181303116,0.267233239,0.203021719,0.164305949,0.188857413,0.19924457,0.258734655,0.27667611,0.155807365,0.211520302,0.165250236,0.033050047,0.153918791,0.177525968,0.256846081,0.177525968,0.220018886,0.203021719,0.213408876,Negative
0.230396902,0.104549855,0.246853824,0.298160697,0.194578896,0.104549855,0.25750242,0.144240077,0.221684414,0.306873185,0.166505324,0.132623427,0.122942885,0.012584705,0.121006776,0.189738625,0.198451113,0.291384318,0.124878993,0.2642788,0.210067764,Positive
0.213658537,0.217560976,0.237560976,0.287317073,0.197073171,0.183902439,0.228292683,0.251219512,0.204390244,0.265365854,0.168292683,0.212682927,0.161463415,0.023902439,0.187804878,0.253658537,0.232682927,0.192195122,0.285365854,0.236585366,0.145853659,Negative
0.134020619,0.195876289,0.360824742,0.257731959,0.134020619,0.24742268,0.309278351,0.24742268,0.103092784,0.298969072,0.113402062,0.268041237,0.144329897,0,0.103092784,0.340206186,0.103092784,0.18556701,0.216494845,0.268041237,0.113402062,Negative
0.24726477,0.164113786,0.212253829,0.266958425,0.196936543,0.144420131,0.216630197,0.207877462,0.216630197,0.282275711,0.181619256,0.159737418,0.105032823,0.013129103,0.188183807,0.238512035,0.210065646,0.218818381,0.251641138,0.231947484,0.159737418,Negative
0.228013029,0.221498371,0.214983713,0.28990228,0.19218241,0.195439739,0.188925081,0.273615635,0.182410423,0.283387622,0.159609121,0.228013029,0.140065147,0.035830619,0.2247557,0.247557003,0.214983713,0.156351792,0.276872964,0.195439739,0.172638436,Negative
0.244680851,0.212765957,0.20212766,0.20212766,0.276595745,0.180851064,0.191489362,0.265957447,0.234042553,0.170212766,0.180851064,0.276595745,0.287234043,0.010638298,0.085106383,0.180851064,0.319148936,0.138297872,0.287234043,0.180851064,0.170212766,Negative
0.256578947,0.171052632,0.190789474,0.197368421,0.210526316,0.144736842,0.190789474,0.223684211,0.230263158,0.243421053,0.190789474,0.164473684,0.157894737,0.019736842,0.177631579,0.276315789,0.263157895,0.144736842,0.289473684,0.25,0.138157895,Positive
0.238095238,0.180952381,0.133333333,0.266666667,0.2,0.152380952,0.123809524,0.19047619,0.247619048,0.228571429,0.180952381,0.171428571,0.180952381,0.028571429,0.161904762,0.2,0.247619048,0.152380952,0.276190476,0.219047619,0.142857143,Negative
0.234636872,0.162011173,0.251396648,0.265363128,0.203910615,0.17877095,0.215083799,0.209497207,0.215083799,0.268156425,0.184357542,0.198324022,0.150837989,0.033519553,0.17877095,0.240223464,0.223463687,0.17877095,0.259776536,0.229050279,0.136871508,Negative
0.239130435,0.243961353,0.236714976,0.29468599,0.176328502,0.236714976,0.212560386,0.292270531,0.18115942,0.270531401,0.142512077,0.270531401,0.195652174,0.026570048,0.18115942,0.234299517,0.231884058,0.229468599,0.280193237,0.212560386,0.202898551,Negative
0.115485564,0.047244094,0.279527559,0.276902887,0.099737533,0.043307087,0.280839895,0.06167979,0.114173228,0.329396325,0.091863517,0.051181102,0.036745407,0,0.081364829,0.152230971,0.137795276,0.354330709,0.062992126,0.278215223,0.099737533,Positive
0.267605634,0.169014085,0.232394366,0.288732394,0.197183099,0.147887324,0.253521127,0.232394366,0.204225352,0.281690141,0.176056338,0.169014085,0.161971831,0.021126761,0.161971831,0.267605634,0.190140845,0.225352113,0.281690141,0.218309859,0.154929577,Positive
0.216292135,0.247191011,0.193820225,0.235955056,0.196629213,0.191011236,0.16011236,0.297752809,0.176966292,0.202247191,0.134831461,0.252808989,0.224719101,0.036516854,0.176966292,0.255617978,0.193820225,0.148876404,0.320224719,0.185393258,0.143258427,Positive
0.261663286,0.148073022,0.206896552,0.346855984,0.146044625,0.114266396,0.206220419,0.1663286,0.252873563,0.288708587,0.123732252,0.136578769,0.114266396,0.018255578,0.121027721,0.15010142,0.294117647,0.204192022,0.217714672,0.220419202,0.192021636,Negative
0.147959184,0.142857143,0.321428571,0.375,0.099489796,0.076530612,0.321428571,0.158163265,0.137755102,0.415816327,0.079081633,0.096938776,0.053571429,0.012755102,0.170918367,0.232142857,0.198979592,0.209183673,0.193877551,0.369897959,0.096938776,Positive
0.283653846,0.170673077,0.197115385,0.290865385,0.151442308,0.149038462,0.182692308,0.213942308,0.235576923,0.25,0.134615385,0.165865385,0.110576923,0.009615385,0.221153846,0.15625,0.262019231,0.165865385,0.233173077,0.228365385,0.221153846,Negative
