prop1.G1.residue0,prop1.G1.residue25,prop1.G1.residue50,prop1.G1.residue75,prop1.G1.residue100,prop1.G2.residue0,prop1.G2.residue25,prop1.G2.residue50,prop1.G2.residue75,prop1.G2.residue100,prop1.G3.residue0,prop1.G3.residue25,prop1.G3.residue50,prop1.G3.residue75,prop1.G3.residue100,prop2.G1.residue0,prop2.G1.residue25,prop2.G1.residue50,prop2.G1.residue75,prop2.G1.residue100,prop2.G2.residue0,prop2.G2.residue25,prop2.G2.residue50,prop2.G2.residue75,prop2.G2.residue100,prop2.G3.residue0,prop2.G3.residue25,prop2.G3.residue50,prop2.G3.residue75,prop2.G3.residue100,prop3.G1.residue0,prop3.G1.residue25,prop3.G1.residue50,prop3.G1.residue75,prop3.G1.residue100,prop3.G2.residue0,prop3.G2.residue25,prop3.G2.residue50,prop3.G2.residue75,prop3.G2.residue100,prop3.G3.residue0,prop3.G3.residue25,prop3.G3.residue50,prop3.G3.residue75,prop3.G3.residue100,prop4.G1.residue0,prop4.G1.residue25,prop4.G1.residue50,prop4.G1.residue75,prop4.G1.residue100,prop4.G2.residue0,prop4.G2.residue25,prop4.G2.residue50,prop4.G2.residue75,prop4.G2.residue100,prop4.G3.residue0,prop4.G3.residue25,prop4.G3.residue50,prop4.G3.residue75,prop4.G3.residue100,prop5.G1.residue0,prop5.G1.residue25,prop5.G1.residue50,prop5.G1.residue75,prop5.G1.residue100,prop5.G2.residue0,prop5.G2.residue25,prop5.G2.residue50,prop5.G2.residue75,prop5.G2.residue100,prop5.G3.residue0,prop5.G3.residue25,prop5.G3.residue50,prop5.G3.residue75,prop5.G3.residue100,prop6.G1.residue0,prop6.G1.residue25,prop6.G1.residue50,prop6.G1.residue75,prop6.G1.residue100,prop6.G2.residue0,prop6.G2.residue25,prop6.G2.residue50,prop6.G2.residue75,prop6.G2.residue100,prop6.G3.residue0,prop6.G3.residue25,prop6.G3.residue50,prop6.G3.residue75,prop6.G3.residue100,prop7.G1.residue0,prop7.G1.residue25,prop7.G1.residue50,prop7.G1.residue75,prop7.G1.residue100,prop7.G2.residue0,prop7.G2.residue25,prop7.G2.residue50,prop7.G2.residue75,prop7.G2.residue100,prop7.G3.residue0,prop7.G3.residue25,prop7.G3.residue50,prop7.G3.residue75,prop7.G3.residue100,Class
0.394477318,25.64102564,40.43392505,72.38658777,97.63313609,1.57790927,28.59960552,57.98816568,75.34516765,99.60552268,0.197238659,20.71005917,41.81459566,69.03353057,100,0.986193294,26.23274162,56.60749507,75.34516765,99.60552268,0.591715976,25.24654832,49.30966469,79.8816568,100,0.197238659,20.31558185,35.8974359,51.6765286,98.02761341,0.197238659,21.49901381,41.81459566,64.69428008,100,1.57790927,29.38856016,60.7495069,76.92307692,99.60552268,0.394477318,25.64102564,39.64497041,72.38658777,97.63313609,0.986193294,27.81065089,57.98816568,75.34516765,99.60552268,0.591715976,24.06311637,47.53451677,79.8816568,100,0.197238659,20.31558185,35.8974359,51.6765286,98.02761341,0.394477318,18.14595661,36.68639053,75.93688363,97.63313609,0.197238659,25.24654832,52.85996055,75.54240631,100,0.986193294,25.64102564,36.48915187,53.84615385,97.23865878,0.197238659,17.75147929,41.81459566,75.93688363,100,0.591715976,24.85207101,48.52071006,73.76725838,98.81656805,0.986193294,29.58579882,58.77712032,74.75345168,98.22485207,0.591715976,21.49901381,43.58974359,67.85009862,100,0.394477318,25.64102564,40.43392505,72.38658777,97.63313609,0.197238659,31.5581854,61.7357002,76.52859961,98.22485207,Negative
0.36101083,20.39711191,50.72202166,74.54873646,100,1.083032491,23.28519856,49.81949458,75.99277978,99.81949458,0.180505415,27.97833935,49.63898917,72.02166065,99.45848375,0.36101083,26.35379061,51.44404332,76.1732852,99.81949458,0.902527076,21.4801444,47.6534296,71.11913357,100,0.180505415,29.06137184,48.73646209,78.5198556,99.45848375,0.180505415,26.89530686,48.91696751,71.11913357,99.45848375,1.083032491,26.71480144,50.90252708,76.71480144,99.81949458,0.36101083,20.03610108,49.27797834,74.54873646,100,0.36101083,26.35379061,53.42960289,76.89530686,99.81949458,0.902527076,22.20216606,45.48736462,71.11913357,100,0.180505415,29.06137184,48.73646209,78.5198556,99.45848375,0.541516245,43.32129964,62.27436823,84.65703971,98.37545126,0.180505415,23.64620939,48.01444043,74.54873646,100,0.36101083,22.92418773,38.44765343,67.68953069,95.84837545,0.180505415,20.57761733,47.29241877,72.74368231,100,0.902527076,22.74368231,45.66787004,66.42599278,99.45848375,0.36101083,28.5198556,55.23465704,79.96389892,99.81949458,0.902527076,29.06137184,51.26353791,73.64620939,99.45848375,0.36101083,20.39711191,50.72202166,74.54873646,100,0.180505415,22.38267148,47.11191336,75.09025271,99.81949458,Negative
0.29455081,24.30044183,45.94992636,68.04123711,100,0.441826215,27.24594993,53.60824742,78.49779087,99.55817378,0.147275405,22.09131075,52.8718704,82.3269514,99.70544919,0.29455081,24.00589102,51.69366716,72.75405007,99.55817378,0.736377025,26.80412371,46.9808542,72.60677467,99.85272459,0.147275405,22.97496318,52.13549337,78.64506627,100,0.147275405,22.09131075,52.57731959,82.3269514,99.70544919,0.441826215,26.06774669,53.60824742,75.69955817,99.55817378,0.29455081,24.74226804,46.24447717,70.39764359,100,0.29455081,24.15316642,50.22091311,71.87039764,99.55817378,0.736377025,26.3622975,47.56995582,73.04860088,99.85272459,0.147275405,22.97496318,52.13549337,78.64506627,100,2.209131075,20.02945508,45.94992636,73.19587629,100,0.147275405,27.68777614,53.90279823,79.67599411,99.85272459,0.29455081,20.4712813,40.50073638,59.79381443,97.93814433,0.147275405,23.4167894,44.47717231,70.83946981,100,0.441826215,24.88954345,52.8718704,81.29602356,99.70544919,0.29455081,29.16053019,54.78645066,78.05596465,99.85272459,0.736377025,24.88954345,51.69366716,81.00147275,99.70544919,0.29455081,24.30044183,45.94992636,68.04123711,100,0.147275405,25.33136966,57.73195876,79.67599411,99.41089838,Negative
0.340715503,28.44974446,54.34412266,77.42759796,100,0.170357751,25.63884157,51.44804089,77.00170358,99.48892675,0.085178876,20.6132879,41.39693356,67.29131175,99.91482112,0.170357751,27.42759796,54.00340716,78.44974446,100,0.340715503,23.33901193,47.1890971,70.52810903,99.91482112,0.085178876,24.27597956,48.55195911,74.61669506,99.14821124,0.085178876,20.35775128,41.39693356,67.20613288,99.91482112,0.170357751,28.36456559,54.68483816,78.44974446,99.48892675,0.340715503,27.08688245,53.57751278,76.49063032,100,0.170357751,26.06473595,53.91822828,79.30153322,100,0.340715503,24.61669506,47.44463373,72.06132879,99.91482112,0.085178876,24.27597956,48.55195911,74.61669506,99.14821124,1.703577513,31.77172061,57.75127768,78.53492334,99.14821124,0.085178876,23.25383305,46.67802385,73.85008518,99.91482112,0.511073254,29.55706985,54.42930153,75.55366269,100,0.085178876,25.04258944,48.29642249,72.91311755,99.57410562,0.681431005,21.03918228,44.54855196,72.23168654,99.91482112,0.170357751,28.36456559,55.45144804,79.47189097,100,0.596252129,21.55025554,42.33390119,67.71720613,99.91482112,0.340715503,28.44974446,54.34412266,77.42759796,100,0.085178876,25.89437819,53.4923339,78.10902896,99.06303237,Negative
0.283687943,20,49.21985816,74.18439716,99.85815603,0.425531915,24.96453901,47.65957447,78.0141844,100,0.141843972,28.65248227,53.90070922,73.61702128,98.29787234,0.709219858,24.25531915,48.22695035,77.16312057,100,0.283687943,21.27659574,41.70212766,71.34751773,98.58156028,0.141843972,27.94326241,57.0212766,77.87234043,99.85815603,0.141843972,28.93617021,54.04255319,74.32624113,98.29787234,0.709219858,24.11347518,46.80851064,76.45390071,100,0.283687943,20.14184397,49.92907801,74.18439716,99.85815603,0.709219858,24.82269504,49.36170213,78.29787234,100,0.283687943,22.41134752,40.85106383,70.92198582,98.58156028,0.141843972,27.94326241,57.0212766,77.87234043,99.85815603,6.666666667,28.36879433,59.57446809,75.17730496,99.85815603,0.141843972,23.82978723,48.22695035,74.75177305,100,5.673758865,30.92198582,54.75177305,74.46808511,98.15602837,0.141843972,20.9929078,42.26950355,67.80141844,99.85815603,0.709219858,33.19148936,56.87943262,79.29078014,100,0.283687943,24.25531915,54.18439716,80.9929078,99.57446809,0.992907801,28.93617021,51.06382979,73.75886525,99.43262411,0.283687943,20,49.21985816,74.18439716,99.85815603,0.141843972,24.25531915,49.36170213,80.28368794,100,Negative
4.716981132,20.75471698,53.77358491,83.01886792,93.39622642,3.773584906,26.41509434,49.05660377,70.75471698,100,0.943396226,11.32075472,43.39622642,63.20754717,80.18867925,3.773584906,28.30188679,49.05660377,70.75471698,100,1.886792453,14.1509434,35.8490566,59.43396226,90.56603774,0.943396226,26.41509434,66.03773585,84.90566038,99.05660377,0.943396226,14.1509434,44.33962264,63.20754717,80.18867925,3.773584906,24.52830189,47.16981132,70.75471698,100,4.716981132,20.75471698,53.77358491,83.01886792,99.05660377,3.773584906,24.52830189,49.05660377,70.75471698,100,1.886792453,15.09433962,35.8490566,59.43396226,90.56603774,0.943396226,26.41509434,66.03773585,84.90566038,99.05660377,9.433962264,30.18867925,81.13207547,86.79245283,93.39622642,0.943396226,22.64150943,44.33962264,68.86792453,100,5.660377358,13.20754717,37.73584906,61.32075472,83.96226415,0.943396226,16.03773585,47.16981132,76.41509434,99.05660377,7.547169811,31.13207547,58.49056604,72.64150943,100,3.773584906,24.52830189,39.62264151,65.09433962,98.11320755,1.886792453,23.58490566,45.28301887,66.03773585,98.11320755,4.716981132,20.75471698,53.77358491,83.01886792,93.39622642,0.943396226,22.64150943,42.45283019,69.81132075,100,Negative
0.480769231,31.25,53.125,75.96153846,100,0.961538462,21.875,50.48076923,76.44230769,99.51923077,0.240384615,21.39423077,45.91346154,70.43269231,99.75961538,0.961538462,23.07692308,51.44230769,77.64423077,99.75961538,0.480769231,24.27884615,43.99038462,65.38461538,97.83653846,0.240384615,27.64423077,55.76923077,77.88461538,100,0.240384615,22.35576923,48.07692308,70.43269231,99.75961538,0.961538462,20.67307692,50.48076923,78.60576923,99.51923077,0.480769231,29.80769231,50,72.83653846,100,0.961538462,22.59615385,50.48076923,76.44230769,99.51923077,0.480769231,25.48076923,45.91346154,68.99038462,99.75961538,0.240384615,27.64423077,55.76923077,77.88461538,100,8.173076923,34.13461538,60.09615385,79.08653846,100,0.240384615,23.55769231,47.83653846,73.79807692,99.75961538,12.5,29.32692308,54.08653846,72.59615385,95.19230769,0.240384615,24.51923077,50,76.68269231,100,0.721153846,26.68269231,49.51923077,68.02884615,99.75961538,0.480769231,23.31730769,49.75961538,75,99.51923077,0.721153846,22.35576923,45.91346154,74.51923077,99.75961538,0.480769231,31.25,53.125,75.96153846,100,0.240384615,20.67307692,50.96153846,73.07692308,99.03846154,Positive
0.286532951,22.9226361,49.09264565,77.74594078,98.47182426,0.477554919,28.8443171,52.43553009,74.40305635,99.71346705,0.095510984,18.14708691,40.97421203,72.87488061,100,0.573065903,28.36676218,51.95797517,75.83572111,99.71346705,0.191021968,22.82712512,51.38490926,77.93696275,100,0.095510984,18.62464183,36.38968481,65.23400191,99.90448902,0.095510984,19.10219675,40.87870105,69.91404011,100,0.573065903,29.9904489,53.19961796,76.50429799,99.71346705,0.286532951,23.11365807,51.00286533,77.17287488,98.56733524,0.573065903,27.79369628,52.43553009,77.45940783,99.71346705,0.191021968,24.73734479,51.28939828,75.93123209,100,0.095510984,18.62464183,36.38968481,65.23400191,99.90448902,1.719197708,17.28748806,31.70964661,54.91881566,91.88156638,0.095510984,24.83285578,50.14326648,74.88061127,100,5.444126074,32.09169054,55.96943649,78.03247373,97.80324737,0.095510984,19.29321872,49.47468959,77.17287488,99.80897803,0.477554919,27.88920726,49.28366762,70.86914995,100,1.241642789,23.78223496,50.71633238,78.98758357,99.71346705,0.191021968,18.43361987,40.78319007,71.44221585,100,0.286532951,22.9226361,49.09264565,77.74594078,98.47182426,0.095510984,32.9512894,53.96370583,75.26265521,99.71346705,Positive
0.787401575,14.17322835,34.64566929,66.92913386,91.33858268,1.181102362,31.1023622,53.54330709,76.37795276,98.81889764,0.393700787,23.22834646,45.66929134,77.16535433,100,1.181102362,28.74015748,52.36220472,73.22834646,98.81889764,2.362204724,19.68503937,39.76377953,67.32283465,100,0.393700787,24.80314961,63.38582677,84.64566929,97.24409449,0.393700787,25.98425197,49.60629921,81.88976378,100,1.181102362,30.31496063,52.75590551,74.01574803,98.81889764,0.787401575,14.17322835,34.64566929,66.92913386,94.09448819,1.181102362,28.74015748,52.36220472,74.01574803,98.81889764,1.57480315,19.68503937,39.76377953,64.56692913,100,0.393700787,24.80314961,63.38582677,84.64566929,97.24409449,0.787401575,13.77952756,36.22047244,75.19685039,87.4015748,0.393700787,27.16535433,51.18110236,75.98425197,100,7.874015748,12.20472441,20.86614173,55.11811024,82.28346457,0.393700787,14.17322835,37.79527559,75.19685039,100,1.57480315,30.70866142,53.1496063,76.77165354,98.03149606,1.968503937,25.19685039,51.96850394,71.65354331,98.42519685,1.181102362,25.59055118,49.60629921,87.00787402,100,0.787401575,14.17322835,34.64566929,66.92913386,91.33858268,0.393700787,29.92125984,53.1496063,72.44094488,95.27559055,Negative
0.677966102,18.98305085,38.6440678,66.10169492,99.3220339,1.355932203,37.96610169,62.37288136,79.3220339,99.66101695,0.338983051,18.6440678,42.37288136,64.74576271,100,1.355932203,30.16949153,62.37288136,79.66101695,98.98305085,0.677966102,21.01694915,43.05084746,65.42372881,100,0.338983051,21.69491525,41.01694915,61.01694915,99.66101695,0.338983051,21.69491525,42.71186441,64.06779661,100,1.355932203,38.30508475,66.77966102,81.01694915,98.98305085,0.677966102,19.3220339,41.01694915,66.10169492,99.3220339,1.355932203,37.96610169,66.77966102,81.01694915,98.6440678,0.677966102,21.01694915,43.05084746,66.10169492,100,0.338983051,21.69491525,41.01694915,61.01694915,99.66101695,4.06779661,25.42372881,43.72881356,58.6440678,97.96610169,0.338983051,25.08474576,53.89830508,76.61016949,100,2.372881356,12.88135593,35.25423729,49.49152542,95.25423729,0.338983051,21.69491525,37.28813559,63.72881356,97.96610169,1.016949153,28.13559322,54.23728814,77.96610169,100,0.677966102,25.76271186,55.59322034,78.6440678,99.3220339,1.016949153,25.08474576,49.83050847,74.91525424,100,0.677966102,18.98305085,38.6440678,66.10169492,99.3220339,0.338983051,33.55932203,60.33898305,80.6779661,99.66101695,Negative
